state,zip,plan_letter,carrier_name,rate_type,gender,age,monthly_premium
NC,27713,G,HealthSpring Insurance Company,ATTAINED_AGE,M,80,264.58
NC,27713,G,LifeShield National Insurance Company,ATTAINED_AGE,M,80,267.03
NC,27713,G,WoodmenLife,ATTAINED_AGE,M,80,268.36
NC,27713,G,American Benefit Life Insurance Company,ATTAINED_AGE,M,80,272.5
NC,27713,G,Erie Family Life Insurance Company,ATTAINED_AGE,M,80,272.53
NC,27713,G,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,M,80,277.02
NC,27713,G,Medico Insurance Company (Standard II),ATTAINED_AGE,M,80,286.95
NC,27713,G,AFLAC,ATTAINED_AGE,M,80,293.22
NC,27713,G,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,M,80,295.29
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,M,80,298.21
NC,27713,G,USAA Life Insurance Company,ATTAINED_AGE,M,80,299.37
NC,27713,G,Aetna Health Insurance Company,ATTAINED_AGE,M,80,305.88
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,M,80,306.96
NC,27713,G,Heartland National Life Insurance Company,ATTAINED_AGE,M,80,316.39
NC,27713,G,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,M,80,318.41
NC,27713,G,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,M,80,332.01
NC,27713,G,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,M,80,333.63
NC,27713,G,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,M,80,350.23
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,M,80,376.45
NC,27713,G,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,M,80,396.88
NC,27713,G,BlueCross BlueShield of North Carolina,ATTAINED_AGE,M,80,403.75
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,M,80,464.75
NC,27713,G,GPM Health and Life Insurance Company,ATTAINED_AGE,M,80,476.15
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,M,80,508.36
NC,27713,G,United American Insurance Company,ATTAINED_AGE,M,80,525
NC,27713,G,Guarantee Trust Life Insurance Company,ATTAINED_AGE,M,80,577.71
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,M,80,851.16
NC,27713,G,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,F,80,170.17
NC,27713,G,Medico Insurance Company (Preferred),ATTAINED_AGE,F,80,199.62
NC,27713,G,Nassau Life Insurance Company,ATTAINED_AGE,F,80,200.3
NC,27713,G,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,F,80,202.34
NC,27713,G,Lumos Insurance,ATTAINED_AGE,F,80,208.45
NC,27713,G,Old Surety Life Insurance Company,ISSUE_AGE,F,80,211.03
